scenario,beta,c,gamma,mean_reproduction_number,mean_peak_I,std_peak_I,mean_peak_time,mean_final_size,std_final_size,mean_events_count
gamma_scan,0.05,10.0,0.15,3.3333333333333335,357.8,12.357184145265458,15.903176373964977,958.8,10.084641788382967,1907.6
gamma_scan,0.05,10.0,0.25,2.0,175.0,20.211382931407737,17.483319563826388,820.6,19.81918262693999,1631.2
gamma_scan,0.05,10.0,0.35,1.4285714285714286,70.2,21.02855201862458,18.434313771643293,533.6,59.47100133678598,1057.2
