t,S,I,R
11.522866649204454,807,79,114
11.532741631695036,806,80,114
11.538442199929895,805,81,114
11.554093357089972,804,82,114
11.564383201843306,803,83,114
11.566493435773241,802,84,114
11.599796334775467,801,85,114
11.604622308560648,800,86,114
11.660210190660285,800,85,115
11.666671374522721,799,86,115
11.685587796613184,798,87,115
11.689474169804447,797,88,115
11.758916393681227,796,89,115
11.79652950172069,796,88,116
11.816527279473,796,87,117
11.847435556796452,795,88,117
11.865253194698127,794,89,117
11.897747070775141,794,88,118
11.902439343390078,793,89,118
11.913815346193479,792,90,118
11.92875350079698,791,91,118
11.945696030685225,790,92,118
11.949109851708377,790,91,119
11.950977771153596,790,90,120
11.988319496057883,790,89,121
11.994705929217249,789,90,121
11.999661490843181,788,91,121
12.052115212023104,787,92,121
12.057234685185952,786,93,121
12.065465397683582,786,92,122
12.119587348576792,785,93,122
12.131737104435468,784,94,122
12.14502063606692,784,93,123
12.147758689632987,783,94,123
12.165425152540815,782,95,123
12.178226295579034,781,96,123
12.200845746621054,781,95,124
12.227371167269258,780,96,124
12.244814592299779,779,97,124
12.29510582900156,779,96,125
12.3001118832405,778,97,125
12.301886465579509,777,98,125
12.315061943938682,777,97,126
12.325103045134938,776,98,126
12.367523330274766,775,99,126
12.371627319893243,775,98,127
12.378561512143698,774,99,127
12.399964796772124,773,100,127
12.417143136732387,772,101,127
12.423061232423514,771,102,127
12.45966882252421,770,103,127
12.479375397193639,769,104,127
12.508934415107058,768,105,127
12.58188205608066,767,106,127
12.583306319388083,766,107,127
12.588160130565829,765,108,127
12.588271193186245,764,109,127
12.600906692404902,763,110,127
12.609428707625614,762,111,127
12.610442779927778,761,112,127
12.641369827333726,761,111,128
12.64252079987193,761,110,129
12.655418190351067,760,111,129
12.660093881230702,759,112,129
12.662262962145757,759,111,130
12.666793275938987,758,112,130
12.672292224948103,757,113,130
12.676209711460553,756,114,130
12.681479269147044,756,113,131
12.686679898191759,755,114,131
12.711402583665508,755,113,132
12.716809959822982,754,114,132
12.731448998382028,754,113,133
12.753711800707503,753,114,133
12.757343741108794,752,115,133
12.763899574898124,751,116,133
12.785670286701237,750,117,133
12.791931293299674,749,118,133
12.796368193369636,748,119,133
12.798015804536599,747,120,133
12.79954786379739,746,121,133
12.807725910179995,745,122,133
12.817458685149255,745,121,134
12.824861745669732,744,122,134
12.828000251462866,743,123,134
12.830485229182532,742,124,134
12.83315593366346,742,123,135
12.87989451728692,741,124,135
12.884393366094546,741,123,136
12.896394212047388,740,124,136
12.928876705153888,740,123,137
12.950600825520516,739,124,137
12.955178696713622,738,125,137
12.961262138597936,738,124,138
12.985970343605986,738,123,139
12.990437219735028,737,124,139
13.012448008572635,737,123,140
13.025606878374669,737,122,141
13.052041937744347,737,121,142
13.074810819099175,736,122,142
13.08018570000919,736,121,143
13.141039756531166,736,120,144
13.143327070309871,736,119,145
13.145405701626261,736,118,146
13.148748975889202,736,117,147
13.171882914171572,736,116,148
13.213184404466482,735,117,148
13.238988000313473,734,118,148
13.268949926712978,733,119,148
