illness_duration,peak_I,peak_time,final_S,final_I,final_R,final_size
2.0,23.0,1.9333293824498239,931.0,0.0,69.0,69.0
4.0,324.0,12.506721316482738,234.0,0.0,766.0,766.0
6.0,573.0,13.739726743248005,60.0,0.0,940.0,940.0
8.0,739.0,14.362407513505579,24.0,0.0,976.0,976.0
