num_repairers,mttf_inverse_norm,queue_norm,utilization_norm
1,1.0,1.0,1.0
2,0.48047651108741396,0.155008046484064,0.7025240111781259
3,0.3325662042883815,0.0,0.5040583912500843
4,0.3233781836148821,0.0,0.3822864749510384
