num_repairers,replication,seed,time_to_failure,failed,avg_repair_queue,repairer_utilization
1,1,600,10.71872669178473,true,0.2876145826483899,0.5889458064601018
1,2,601,15.226482753692352,true,0.1360358422067463,0.33594707242183924
1,3,602,14.455077154950216,true,0.2634441927911146,0.5683992388321811
1,4,603,22.546201815124697,true,0.3479616700166073,0.5926324191992066
1,5,604,12.288423049853357,true,0.20055703819104018,0.285045290882353
1,6,605,4.825132786298094,true,0.5008478792077503,0.9129630285334733
1,7,606,29.802756458497377,true,0.3886513121117363,0.6299555407202965
1,8,607,54.11558238458871,true,0.23634873699365408,0.5042871015144315
1,9,608,9.205959748135431,true,0.8382541815188407,0.6684819149257962
1,10,609,20.855385862124745,true,0.07781151089939578,0.4758571979368871
1,11,610,19.910820194856903,true,0.2161826998718424,0.4064052342072487
1,12,611,43.41440221650442,true,0.44068302405240223,0.473299685187129
1,13,612,6.103888193719022,true,0.2620734652400404,0.5416341713228728
1,14,613,1.6537523942556693,true,0.4905289660570349,0.5282805799287301
1,15,614,17.41174766694085,true,0.14737123723795173,0.4516032297028276
1,16,615,7.9784127670267955,true,0.7590909200982571,0.8479711469274308
1,17,616,31.51693287337258,true,0.1820983264949957,0.4479501860682414
1,18,617,25.96714597825641,true,0.5640178880439729,0.6404531522734687
1,19,618,13.612668857665408,true,1.2195328666655936,0.8861002864009094
1,20,619,11.447843114988219,true,0.4615372766744438,0.669732138546709
1,21,620,10.079965475445245,true,0.44828689501020075,0.416760167886849
1,22,621,29.311293342521743,true,0.5167893672575999,0.6457167157491824
1,23,622,5.235736674378937,true,0.7694761387038551,0.5899976333784887
1,24,623,12.177137886691373,true,0.2574743632343779,0.6282376725471013
1,25,624,78.00778511544539,true,0.469286955407352,0.5682821870386905
1,26,625,6.046830226728181,true,0.9793869517004634,0.7492113011710221
1,27,626,16.586370878962196,true,0.7256632719553386,0.7682558297461253
1,28,627,18.77782121999224,true,0.4008934331383176,0.5112913172216665
1,29,628,32.51604926558244,true,0.6070417991359367,0.7008436076682649
1,30,629,8.927629967868198,true,0.6451110262757365,0.796530785562802
1,31,630,15.130619303175056,true,0.3503173486003782,0.6156394244938093
1,32,631,15.228372684416412,true,0.1737118869463064,0.2851845426182594
1,33,632,7.328844368937209,true,0.17636595222809326,0.8844891309806306
1,34,633,8.203240899762017,true,0.6606715407670981,0.723756578422008
1,35,634,27.387154675195543,true,0.26947875899891455,0.46197618240965566
1,36,635,7.651061913316622,true,0.06096502045882496,0.32662018124749775
1,37,636,9.5392415031431,true,0.5945439289364463,0.6900020690531329
1,38,637,29.2239862910676,true,0.5038381459550937,0.6829760235404001
1,39,638,8.849491942821842,true,0.41814501989120145,0.8636976386405854
1,40,639,3.957509904005593,true,0.5969437614290498,0.7314679085083221
1,41,640,4.341591278107348,true,0.11229582875881021,0.6900752285976692
1,42,641,11.25575784148061,true,0.07983322228791392,0.48192447935640415
1,43,642,10.408291152307132,true,0.3152198026204289,0.2283314745439087
1,44,643,36.695702339940134,true,0.31144498526547276,0.5421940406495821
