customer_id,arrival_time,service_start,departure_time,waiting_time,service_time,system_time
1,0.14518451436852475,0.14518451436852475,0.5996416802206661,0.0,0.4544571658521414,0.45445716585214135
2,0.5941831542903504,0.5941831542903504,0.6985890193872867,0.0,0.10440586509693628,0.10440586509693628
3,1.5490648267819074,1.5490648267819074,1.7577265657310124,0.0,0.20866173894910495,0.208661738949105
4,1.6242796925312217,1.6242796925312217,2.564036245703714,0.0,0.9397565531724925,0.9397565531724923
5,1.6911000709069648,1.7577265657310124,2.975977152770334,0.06662649482404759,1.2182505870393217,1.2848770818633692
7,4.377930221620456,4.377930221620456,4.778969629636998,0.0,0.4010394080165416,0.40103940801654137
6,2.2989039524296317,2.564036245703714,5.0412383996697265,0.2651322932740823,2.477202153966012,2.742334447240095
8,5.16494279700802,5.16494279700802,7.826744828910655,0.0,2.6618020319026345,2.661802031902635
9,7.0099944106308705,7.0099944106308705,9.302313921610601,0.0,2.2923195109797305,2.2923195109797305
11,8.971101890809111,9.302313921610601,11.666103915748472,0.3312120308014901,2.3637899941378717,2.6950020249393614
10,7.828990220943469,7.828990220943469,12.004610059191402,0.0,4.175619838247933,4.175619838247933
12,11.919179488079832,11.919179488079832,12.040633493485068,0.0,0.12145400540523521,0.12145400540523532
13,12.68652755464513,12.68652755464513,13.47279554697179,0.0,0.7862679923266603,0.7862679923266604
14,16.069014420480464,16.069014420480464,17.96064981543396,0.0,1.8916353949534976,1.8916353949534965
15,18.14316642520691,18.14316642520691,18.633565945908565,0.0,0.4903995207016546,0.49039952070165427
16,22.458520156865283,22.458520156865283,23.588284379772883,0.0,1.1297642229075995,1.1297642229075997
17,25.45645888639873,25.45645888639873,26.148181697208248,0.0,0.6917228108095199,0.6917228108095195
18,26.338997953649585,26.338997953649585,26.48622349051236,0.0,0.14722553686277337,0.1472255368627735
20,27.57174714247525,27.57174714247525,28.716516863528593,0.0,1.1447697210533447,1.1447697210533434
21,29.066330171566218,29.066330171566218,30.016458309166726,0.0,0.9501281376005092,0.9501281376005082
19,26.85595179780316,26.85595179780316,32.74898796728605,0.0,5.893036169482888,5.893036169482887
23,32.606843734849136,32.74898796728605,33.42813186234291,0.14214423243691243,0.6791438950568639,0.8212881274937729
24,33.50064850325357,33.50064850325357,35.08674758173522,0.0,1.586099078481644,1.586099078481645
22,29.973500123225932,30.016458309166726,35.42963239135316,0.042958185940793925,5.413174082186432,5.456132268127227
26,35.02482413816678,35.42963239135316,36.0253305136719,0.40480825318638125,0.5956981223187459,1.0005063755051253
27,36.60907362518617,36.60907362518617,38.00342658432444,0.0,1.3943529591382688,1.394352959138267
28,37.028705340760354,38.00342658432444,39.3071928044262,0.9747212435640833,1.3037662201017646,2.278487463665847
29,39.526657099378426,39.526657099378426,40.82677909178326,0.0,1.3001219924048342,1.3001219924048328
30,39.83441009316409,40.82677909178326,43.558219127180145,0.9923689986191704,2.7314400353968877,3.723809034016057
25,34.547861690473496,35.08674758173522,43.6008232355791,0.5388858912617209,8.514075653843884,9.052961545105603
31,40.44787524447751,43.558219127180145,43.67341679055938,3.1103438827026366,0.11519766337923705,3.225541546081871
33,41.62165226663721,43.67341679055938,43.87569025401574,2.0517645239221665,0.20227346345636016,2.254037987378524
34,42.259181189225714,43.87569025401574,44.230196048864855,1.6165090647900229,0.35450579484911976,1.9710148596391406
35,43.2109131723922,44.230196048864855,44.9091065953895,1.0192828764726514,0.678910546524649,1.6981934229972993
36,45.35268621772801,45.35268621772801,45.570969024784056,0.0,0.21828280705604988,0.21828280705604897
32,41.075350408403665,43.6008232355791,45.868365019987166,2.5254728271754345,2.267541784408064,4.7930146115835015
37,46.14560779296951,46.14560779296951,46.96260909192813,0.0,0.8170012989586257,0.8170012989586226
38,48.860039698791745,48.860039698791745,49.178617343661294,0.0,0.31857764486955203,0.3185776448695492
39,49.36715413961523,49.36715413961523,50.22375005212951,0.0,0.8565959125142775,0.8565959125142797
40,50.35826885149527,50.35826885149527,51.81441549159146,0.0,1.4561466400961947,1.4561466400961933
41,52.96197822449703,52.96197822449703,53.23841269441236,0.0,0.27643446991532733,0.27643446991532983
43,54.970819902879676,54.970819902879676,58.33124075982548,0.0,3.360420856945802,3.360420856945801
42,54.56609776792658,54.56609776792658,58.4020088104759,0.0,3.835911042549321,3.83591104254932
45,58.043182063739444,58.4020088104759,58.41847873274464,0.35882674673645454,0.01646992226874251,0.37529666900519487
44,56.365628688018994,58.33124075982548,58.63220709575663,1.9656120718064827,0.3009663359311511,2.266578407737633
46,60.053590672544495,60.053590672544495,61.584975153225024,0.0,1.53138448068053,1.5313844806805292
47,62.014091189412945,62.014091189412945,63.19836161543497,0.0,1.1842704260220274,1.1842704260220245
48,62.89373798824384,62.89373798824384,64.19548539869776,0.0,1.3017474104539115,1.3017474104539133
49,64.48911558625039,64.48911558625039,66.83649131588437,0.0,2.3473757296339857,2.3473757296339812
51,73.48105063571381,73.48105063571381,73.52378813652447,0.0,0.04273750081066307,0.04273750081065941
50,71.6394745738439,71.6394745738439,75.12836740789976,0.0,3.488892834055854,3.4888928340558607
52,75.13416295030062,75.13416295030062,75.41414166231736,0.0,0.2799787120167427,0.2799787120167423
53,75.43915175120722,75.43915175120722,77.7223726947047,0.0,2.283220943497477,2.283220943497483
54,76.8456475311067,76.8456475311067,79.1621611336544,0.0,2.31651360254768,2.316513602547687
56,84.54046538023812,84.54046538023812,85.82923342673621,0.0,1.2887680464980986,1.2887680464980917
55,84.43925400786016,84.43925400786016,86.70034426318938,0.0,2.261090255329223,2.261090255329222
57,85.43671085657867,85.82923342673621,89.90464208437075,0.39252257015753855,4.075408657634547,4.467931227792079
