num_repairers,num_operating,num_spares,failure_rate,repair_rate,n_replications,mean_time_to_failure,std_time_to_failure,min_time_to_failure,max_time_to_failure,mean_repair_queue,mean_repairer_utilization,analytic_mttf
1,5,3,0.1,0.5,100,17.89117922514051,14.656868870699919,0.9068132341696908,81.67190527855729,0.42389354065984763,0.5809200108453387,19.999999999999993
2,5,3,0.1,0.5,100,37.23632438274498,35.111204690286804,1.634377365301544,212.0167384559272,0.06570690965489613,0.40811025619270774,38.0
3,5,3,0.1,0.5,100,53.79734619584602,47.43879889800481,1.8625077330983346,255.94888301973643,0.0,0.292817606111683,47.99999999999996
4,5,3,0.1,0.5,100,55.32586962158058,57.64215952231379,2.9810415249192954,453.0001281442082,0.0,0.22207786317458356,47.99999999999996
