num_servers,waiting_time_norm,queue_norm,utilization_norm
2,1.0,1.0,1.0
3,0.12724431240868497,0.41428571428571426,0.7288208713118167
4,0.02776190476492773,0.3,0.5512002638555746
5,0.00488524770222598,0.1285714285714286,0.42290228555434783
