customer_id,event,time,queue_length,busy_servers,waiting_time,service_time,system_time
1,arrival,0.14518451436852475,0,0,NaN,NaN,NaN
1,service_start,0.14518451436852475,0,1,0.0,0.4544571658521414,NaN
2,arrival,0.5941831542903504,0,1,NaN,NaN,NaN
2,service_start,0.5941831542903504,0,2,0.0,0.10440586509693628,NaN
1,departure,0.5996416802206661,0,1,0.0,0.4544571658521414,0.45445716585214135
2,departure,0.6985890193872867,0,0,0.0,0.10440586509693628,0.10440586509693628
3,arrival,1.5490648267819074,0,0,NaN,NaN,NaN
3,service_start,1.5490648267819074,0,1,0.0,0.20866173894910495,NaN
4,arrival,1.6242796925312217,0,1,NaN,NaN,NaN
4,service_start,1.6242796925312217,0,2,0.0,0.9397565531724925,NaN
5,arrival,1.6911000709069648,1,2,NaN,NaN,NaN
3,departure,1.7577265657310124,1,1,0.0,0.20866173894910495,0.208661738949105
5,service_start,1.7577265657310124,0,2,0.06662649482404759,1.2182505870393217,NaN
6,arrival,2.2989039524296317,1,2,NaN,NaN,NaN
4,departure,2.564036245703714,1,1,0.0,0.9397565531724925,0.9397565531724923
6,service_start,2.564036245703714,0,2,0.2651322932740823,2.477202153966012,NaN
5,departure,2.975977152770334,0,1,0.06662649482404759,1.2182505870393217,1.2848770818633692
7,arrival,4.377930221620456,0,1,NaN,NaN,NaN
7,service_start,4.377930221620456,0,2,0.0,0.4010394080165416,NaN
7,departure,4.778969629636998,0,1,0.0,0.4010394080165416,0.40103940801654137
6,departure,5.0412383996697265,0,0,0.2651322932740823,2.477202153966012,2.742334447240095
8,arrival,5.16494279700802,0,0,NaN,NaN,NaN
8,service_start,5.16494279700802,0,1,0.0,2.6618020319026345,NaN
9,arrival,7.0099944106308705,0,1,NaN,NaN,NaN
9,service_start,7.0099944106308705,0,2,0.0,2.2923195109797305,NaN
8,departure,7.826744828910655,0,1,0.0,2.6618020319026345,2.661802031902635
10,arrival,7.828990220943469,0,1,NaN,NaN,NaN
10,service_start,7.828990220943469,0,2,0.0,4.175619838247933,NaN
11,arrival,8.971101890809111,1,2,NaN,NaN,NaN
9,departure,9.302313921610601,1,1,0.0,2.2923195109797305,2.2923195109797305
11,service_start,9.302313921610601,0,2,0.3312120308014901,2.3637899941378717,NaN
11,departure,11.666103915748472,0,1,0.3312120308014901,2.3637899941378717,2.6950020249393614
12,arrival,11.919179488079832,0,1,NaN,NaN,NaN
12,service_start,11.919179488079832,0,2,0.0,0.12145400540523521,NaN
10,departure,12.004610059191402,0,1,0.0,4.175619838247933,4.175619838247933
