num_repairers,time,event,operating_machines,spares_available,repair_queue,repairers_busy,broken_total,failed
2,125.95422660442912,repair_complete,5,2,0,1,1,false
2,126.06878929528656,repair_complete,5,3,0,0,0,false
2,129.68367227469986,machine_failure_start_repair,5,2,0,1,1,false
2,129.68956031238457,repair_complete,5,3,0,0,0,false
2,135.06387538878167,machine_failure_start_repair,5,2,0,1,1,false
2,135.61083639297644,repair_complete,5,3,0,0,0,false
2,137.02110237250275,machine_failure_start_repair,5,2,0,1,1,false
2,138.09710078772824,repair_complete,5,3,0,0,0,false
2,140.00728413749903,machine_failure_start_repair,5,2,0,1,1,false
2,140.43640480955534,repair_complete,5,3,0,0,0,false
2,140.5940212720607,machine_failure_start_repair,5,2,0,1,1,false
2,141.96908312770844,machine_failure_start_repair,5,1,0,2,2,false
2,142.94740949361827,repair_complete,5,2,0,1,1,false
2,145.10054380626534,repair_complete,5,3,0,0,0,false
2,146.63293046428714,machine_failure_start_repair,5,2,0,1,1,false
2,146.74659947588566,machine_failure_start_repair,5,1,0,2,2,false
2,147.01756916738438,repair_complete,5,2,0,1,1,false
2,147.89160233215375,machine_failure_start_repair,5,1,0,2,2,false
2,148.93763518445107,repair_complete,5,2,0,1,1,false
2,149.8282361784999,repair_complete,5,3,0,0,0,false
2,150.46250669162083,machine_failure_start_repair,5,2,0,1,1,false
2,150.83256523800014,repair_complete,5,3,0,0,0,false
2,151.30082433498683,machine_failure_start_repair,5,2,0,1,1,false
2,151.71331807495923,repair_complete,5,3,0,0,0,false
2,151.75261761135795,machine_failure_start_repair,5,2,0,1,1,false
2,151.78511167109986,repair_complete,5,3,0,0,0,false
2,152.01806735884674,machine_failure_start_repair,5,2,0,1,1,false
2,153.0398374364613,machine_failure_start_repair,5,1,0,2,2,false
2,153.32006737355337,repair_complete,5,2,0,1,1,false
2,153.6077611544202,repair_complete,5,3,0,0,0,false
2,154.5717082378807,machine_failure_start_repair,5,2,0,1,1,false
2,155.62756160111536,machine_failure_start_repair,5,1,0,2,2,false
2,155.71165960874947,repair_complete,5,2,0,1,1,false
2,156.41822575108614,repair_complete,5,3,0,0,0,false
2,157.79713778893606,machine_failure_start_repair,5,2,0,1,1,false
2,158.31884438595222,machine_failure_start_repair,5,1,0,2,2,false
2,158.8835073298823,machine_failure_queue_repair,5,0,1,2,3,false
2,158.99969820381614,repair_complete_start_next,5,1,0,2,2,false
