num_repairers,simulation_mttf,analytical_mttf,absolute_difference
1,17.89117922514051,19.999999999999993,2.108820774859481
2,37.23632438274498,38.0,0.7636756172550179
3,53.79734619584602,47.99999999999996,5.79734619584606
4,55.32586962158058,47.99999999999996,7.3258696215806225
