scenario,beta_und,detection_time,death_rate,fitness
Базовый сценарий,0.1793911040591954,4,0.0565317196091768,0.0023333333333333335
Инфекция в первом городе,0.6038943119890785,3,0.06677508156696658,0.6036630920464701
Множественное начальное заражение,0.1194856112538424,7,0.02995075397653013,0.005666666666666667
