n_steps,scenario,Is,infection_period,detection_time,reinfection_probability,Ns,peak_value,peak_time,β_det,death_rate,β_und,migration_intensity,seed,C
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,44,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,20,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,42,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,43,3
150,Базовая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,10,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,10,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.0,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,12,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.1,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.2,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.3,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,11,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.4,44,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,14,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,42,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,13,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,43,3
150,Высокая заразность,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.07, 0.07, 0.07]",0.02,"[0.7, 0.7, 0.7]",0.5,44,3
